Date,Temperature (°C),Max Temperature (°C),Min Temperature (°C),Humidity (%),Wind Speed (m/s),Precipitation (mm),Cloud Cover (%)
2024-10-18,-0.2513422218048787,20.0,3.7,-0.161277159890732,-0.12889273559394257,-0.32448914429034476,-1.2347046923185434
2024-10-19,0.04049199799759317,21.9,4.8,-0.2444097165354393,-0.24397553523139084,-0.32448914429034476,-0.9998423867144727
2024-10-20,0.14992983042351996,23.3,5.9,0.3375181799775119,-1.049555132693528,-0.32448914429034476,-0.19460019607194426
2024-10-21,0.3688054952753735,24.8,5.6,0.0049879533986826275,-1.049555132693528,-0.32448914429034476,-1.2347046923185434
2024-10-22,0.5147226051766094,25.2,5.9,-0.161277159890732,-1.5098863312433206,-0.32448914429034476,-1.2347046923185434
2024-10-23,0.8430361024543898,26.3,8.9,0.0049879533986826275,-1.164637932330976,-0.32448914429034476,-1.2347046923185434
2024-10-24,0.9159946574050081,23.7,10.7,-0.3275422731801466,0.4465212625932983,-0.32448914429034476,-1.2011529343751046
2024-10-25,0.2776073015871011,23.7,4.8,-0.2444097165354393,-0.5892239341437352,-0.32448914429034476,-1.2011529343751046
2024-10-26,1.1713495997321703,26.7,12.2,-0.2444097165354393,0.10127286368095396,-0.32448914429034476,-0.4630142596194537
2024-10-27,0.33232621780006466,18.1,11.1,-0.07814460324602468,-0.013809935956494303,0.9686397516594882,1.9527123123081314
2024-10-28,0.04049199799759317,19.6,6.3,0.5869158499116338,-1.2797207319684243,-0.32448914429034476,-0.060393164298189535
2024-10-29,0.2228883853741379,20.4,6.3,0.5869158499116338,-1.3948035316058724,-0.32448914429034476,0.5770902366271454
2024-10-30,1.2078288772074792,25.9,13.0,0.6700484065563411,-0.5892239341437352,-0.32448914429034476,0.040262109532126514
2024-10-31,1.3172667096334063,26.3,13.7,0.5037832932669265,0.7917696615056425,-0.32448914429034476,-0.1274966801850669
2024-11-01,1.5543820132229147,25.9,16.3,0.6700484065563411,0.9068524611430908,-0.32448914429034476,0.7448490263443388
2024-11-02,0.9524739348803168,19.3,12.2,-0.49380738646956124,-0.013809935956494303,-0.32448914429034476,0.6106419945705841
2024-11-03,0.13169019168586554,18.9,7.4,-0.07814460324602468,0.33143846295585,-0.32448914429034476,-0.39591074373257634
2024-11-04,0.3688054952753735,20.7,8.5,0.6700484065563411,-0.24397553523139084,-0.32448914429034476,1.4158841852131125
2024-11-05,1.0254324898309346,25.2,11.9,0.8363135198457557,0.21635566331840173,-0.32448914429034476,-0.060393164298189535
2024-11-06,1.390225264584024,26.7,13.7,1.0025786331351705,-0.7043067337811834,-0.32448914429034476,1.248125395495919
2024-11-07,1.7185387618618047,26.3,18.9,1.2519763030692923,-0.3590583348688391,1.5720999031027436,0.7448490263443388
2024-11-08,1.6091009294358776,26.3,18.1,0.9194460764904631,-0.5892239341437352,-0.32448914429034476,-0.02684140635475085
2024-11-09,0.40528477275068264,18.9,9.3,-1.6576631794954637,1.0219352607805392,-0.32448914429034476,-0.22815195401538294
2024-11-10,0.05873163673524758,19.3,5.6,0.6700484065563411,-1.164637932330976,0.33069616299090393,1.8185052805343767
2024-11-11,0.8977550186673533,22.2,14.4,1.7507716429375362,0.6766868618681948,1.4514078728140927,0.8455043001746548
2024-11-12,0.46000368896364585,20.0,9.6,-0.5769399431142685,0.9068524611430908,-0.32448914429034476,-1.0333941446579114
2024-11-13,-0.652614274033277,13.7,4.1,-0.6600724997589759,0.4465212625932983,-0.32448914429034476,0.20802089924931993
2024-11-14,-0.7073331902462405,10.7,5.2,1.5845065296481216,0.5616040622307465,5.36527799788892,2.120471102025325
2024-11-15,-0.2695818605425331,14.8,7.8,1.418241416358707,1.1370180604179874,-0.32448914429034476,1.3152289113827964
2024-11-16,-0.36078005423080545,17.4,5.2,0.5869158499116338,-0.013809935956494303,-0.32448914429034476,-1.2347046923185434
2024-11-17,-0.47021788665673225,18.5,2.2,0.8363135198457557,-0.7043067337811834,-0.32448914429034476,-0.09394492224162822
2024-11-18,0.18640910789882878,21.5,7.4,0.8363135198457557,-0.7043067337811834,-0.32448914429034476,1.2816771534393578
2024-11-19,0.3688054952753735,20.4,7.4,1.168843746424585,-0.3590583348688391,-0.32448914429034476,1.5165394590434285
2024-11-20,0.806556824979081,18.5,13.0,1.7507716429375362,0.4465212625932983,3.2962717643691875,1.885608796421254
2024-11-21,-0.5249368028696958,13.7,3.0,-2.073325962719,1.7124320586052277,-0.32448914429034476,-0.26170371195882164
2024-11-22,-1.272761991113529,9.3,0.4,-1.4082655095613417,2.4029288564299174,-0.32448914429034476,-0.26170371195882164
2024-11-23,-0.5614160803450046,15.6,4.8,-0.9926027263378051,1.7124320586052277,-0.32448914429034476,-0.7314283231669632
2024-11-24,-0.6708539127709314,17.8,0.4,0.25438562333280457,-0.5892239341437352,-0.32448914429034476,-0.6643248072800858
2024-11-25,-0.2513422218048787,20.7,0.7,0.3375181799775119,-0.3590583348688391,-0.32448914429034476,-0.7985318390538405
2024-11-26,0.2776073015871011,18.5,7.0,0.5869158499116338,0.9068524611430908,0.10655382102626626,0.8790560581180935
2024-11-27,-0.43373860918142343,16.3,3.3,0.0049879533986826275,-0.3590583348688391,-0.32448914429034476,0.946159574004971
2024-11-28,0.33232621780006466,19.3,8.1,0.5869158499116338,2.6330944557048137,0.5375967863428773,0.946159574004971
2024-11-29,-1.1450845199499478,11.1,0.4,-0.8263376130483905,0.4465212625932983,-0.32448914429034476,-0.7985318390538405
